,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,tipo_renda_Commercial associate,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Academic degree,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Civil marriage,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_Co-op apartment,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
54,0,0,1,0,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
55,1,0,1,0,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
60,1,1,1,0,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
62,0,0,1,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
69,1,0,1,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
76,1,1,1,0,54.41369863013698,29.70684931506849,1,0,0,1,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
77,1,0,0,0,51.18356164383562,-1000.6657534246576,1,0,0,0,2.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
78,1,0,1,2,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
83,0,0,1,0,24.27671232876712,2.4356164383561643,1,1,0,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
84,0,1,1,0,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
87,1,1,1,0,28.12054794520548,8.693150684931506,1,0,1,1,2.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
88,1,1,1,1,48.56438356164384,1.9397260273972603,1,0,1,1,3.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
89,0,0,1,1,38.69041095890411,3.5232876712328767,1,0,0,0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
90,1,0,1,0,27.572602739726022,8.693150684931506,1,0,0,1,2.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
91,0,0,1,0,56.24931506849315,15.6986301369863,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
92,0,1,0,2,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
94,1,0,1,1,37.47671232876712,12.03013698630137,1,0,0,1,3.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
95,1,0,1,0,36.35890410958904,1.5205479452054795,1,0,0,0,1.0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
96,0,1,1,2,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
98,1,0,0,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
107,0,0,1,0,59.37808219178082,-1000.6657534246576,1,0,0,0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
108,1,0,0,0,26.457534246575342,4.273972602739726,1,1,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
109,0,1,0,0,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
111,1,0,0,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
119,1,0,0,0,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
122,1,1,0,0,62.67671232876712,-1000.6657534246576,1,0,1,1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
123,0,1,0,0,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
129,1,0,0,0,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
132,1,0,0,0,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
135,1,0,0,0,33.78904109589041,2.356164383561644,1,1,1,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
136,1,1,0,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
144,0,1,0,0,29.07123287671233,2.6904109589041094,1,0,1,0,2.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
145,1,0,0,0,52.27945205479452,14.364383561643836,1,0,1,0,1.0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
146,1,0,0,0,38.90684931506849,5.86027397260274,1,0,1,0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
147,0,1,0,1,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
149,1,0,0,0,43.75342465753425,24.621917808219177,1,0,0,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
150,0,1,0,0,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
153,0,0,0,0,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
159,1,0,0,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
168,1,0,0,0,57.64657534246575,-1000.6657534246576,1,0,1,0,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
169,1,0,0,0,44.106849315068494,5.112328767123287,1,0,1,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
170,1,0,0,0,60.44109589041096,-1000.6657534246576,1,0,0,0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
172,1,1,0,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
181,0,1,0,0,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
185,1,0,0,0,44.391780821917806,19.45205479452055,1,0,0,0,1.0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
186,0,0,0,0,51.16164383561644,14.531506849315068,1,1,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
187,0,1,0,0,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
191,0,0,0,0,57.95890410958904,0.3561643835616438,1,0,1,0,2.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
192,1,0,0,0,53.95068493150685,14.446575342465753,1,1,1,0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
193,0,1,0,0,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
196,0,1,0,0,63.52602739726027,-1000.6657534246576,1,0,1,1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
198,1,0,0,2,30.90684931506849,4.778082191780822,1,1,0,1,4.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
199,0,1,0,1,25.83561643835617,3.2739726027397262,1,1,0,0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
201,1,0,0,0,40.32328767123288,15.282191780821918,1,0,1,0,2.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
203,0,0,0,0,30.252054794520543,8.695890410958905,1,0,0,0,1.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
206,1,0,0,1,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
212,0,0,0,0,56.44931506849315,0.6904109589041096,1,1,1,0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
213,0,0,0,0,38.14520547945205,6.273972602739726,1,1,1,0,2.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
215,1,0,0,0,52.88767123287671,1.2712328767123289,1,1,1,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
216,0,0,0,0,22.416438356164385,3.608219178082192,1,1,0,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
217,1,0,0,0,64.32876712328768,-1000.6657534246576,1,0,0,0,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
219,1,0,0,0,47.32602739726028,3.6931506849315063,1,0,1,0,2.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
224,1,0,0,0,53.97808219178082,27.04109589041096,1,1,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
229,1,0,0,0,36.276712328767125,12.194520547945206,1,0,1,0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
230,1,0,0,0,33.23287671232877,2.186301369863014,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
231,1,0,0,2,26.673972602739727,7.863013698630137,1,0,0,0,4.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
234,0,1,0,0,44.37260273972603,17.035616438356165,1,1,1,0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
236,0,1,0,0,32.07123287671233,3.1890410958904107,1,1,0,1,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
243,1,0,0,0,44.10958904109589,13.531506849315068,1,0,1,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
245,1,0,0,0,46.26849315068493,7.361643835616438,1,0,0,0,2.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
248,0,1,0,2,34.14520547945205,5.945205479452055,1,1,0,0,4.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
250,0,1,0,1,32.87123287671233,3.1095890410958904,1,1,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
251,1,1,0,0,37.23287671232877,2.6904109589041094,1,0,1,0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
255,1,1,0,0,42.53972602739726,4.778082191780822,1,1,1,0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
256,1,0,0,0,51.54246575342466,26.70684931506849,1,0,0,0,2.0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
265,1,0,0,0,55.62191780821918,-1000.6657534246576,1,0,1,0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
266,0,1,0,0,41.515068493150686,8.610958904109589,1,1,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
268,1,0,0,0,58.4,-1000.6657534246576,1,0,0,0,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
270,1,0,0,0,32.00547945205479,1.8575342465753424,1,0,0,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
271,1,0,0,0,39.38082191780822,2.186301369863014,1,0,1,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
272,1,1,0,0,23.254794520547943,5.027397260273973,1,0,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
273,1,1,0,0,47.62465753424657,2.4383561643835616,1,1,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
275,1,1,0,0,36.86301369863013,7.528767123287671,1,1,1,0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
276,1,0,0,1,35.26575342465753,10.191780821917808,1,1,0,0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
277,1,0,0,2,33.635616438356166,2.6904109589041094,1,1,1,0,4.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
278,0,1,0,0,47.58082191780822,-1000.6657534246576,1,0,0,0,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
279,0,1,0,0,52.20821917808219,0.2712328767123287,1,1,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
282,1,0,0,0,52.89041095890411,9.03013698630137,1,1,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
284,1,0,0,0,52.89041095890411,9.03013698630137,1,1,0,0,2.0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
286,1,0,0,0,27.095890410958905,5.608219178082192,1,0,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
287,1,0,0,0,58.701369863013696,-1000.6657534246576,1,0,1,0,2.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
289,0,0,0,0,23.257534246575343,2.5232876712328767,1,1,0,0,1.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
290,0,0,0,0,40.24383561643835,10.03013698630137,1,1,0,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
291,1,0,0,0,51.0958904109589,29.96164383561644,1,0,1,0,2.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
295,0,0,0,0,27.852054794520548,4.86027397260274,1,1,0,0,1.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
298,1,0,0,0,52.57808219178082,-1000.6657534246576,1,0,0,0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
301,1,0,0,0,59.41917808219178,-1000.6657534246576,1,0,1,0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
309,1,0,0,0,63.83287671232877,-1000.6657534246576,1,0,1,0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
310,0,1,0,0,35.61369863013699,4.273972602739726,1,0,1,1,2.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
314,0,0,0,0,25.698630136986303,4.693150684931507,1,1,1,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
318,1,0,0,0,52.92054794520548,12.194520547945206,1,1,1,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
319,1,0,0,0,27.087671232876712,6.778082191780822,1,0,1,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
321,0,1,0,0,36.10410958904109,3.608219178082192,1,1,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
322,1,1,0,0,52.989041095890414,20.03835616438356,1,1,1,0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
325,1,1,0,0,40.156164383561645,12.032876712328768,1,1,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
327,1,1,0,0,37.14246575342466,1.6054794520547946,1,1,1,0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
328,1,1,0,0,37.14246575342466,1.6054794520547946,1,1,1,0,2.0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
332,0,1,0,0,24.895890410958906,4.608219178082192,1,0,0,0,1.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
335,0,0,0,0,38.67945205479453,8.695890410958905,1,0,0,0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
338,0,1,0,2,40.83835616438356,18.7013698630137,1,1,0,0,4.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
340,1,0,0,0,60.27945205479452,-1000.6657534246576,1,0,1,0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
343,1,1,0,0,42.28767123287671,10.863013698630136,1,1,1,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
345,1,0,0,1,32.364383561643834,8.947945205479453,1,1,1,0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
347,1,1,0,0,40.77534246575343,14.95068493150685,1,0,1,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
349,1,0,0,0,43.175342465753424,1.0246575342465754,1,1,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
351,0,1,0,0,28.58904109589041,4.693150684931507,1,1,0,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
354,1,0,0,0,35.945205479452056,15.282191780821918,1,0,0,0,2.0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
356,0,1,0,0,34.61917808219178,1.1095890410958904,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
358,1,0,0,0,49.12876712328767,4.027397260273973,1,0,0,0,1.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
359,0,1,0,0,43.56438356164384,0.3561643835616438,1,1,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
360,0,0,0,0,33.64931506849315,1.1095890410958904,1,0,1,0,2.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
361,1,0,0,0,27.627397260273973,1.8575342465753424,1,0,0,0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
364,0,1,0,0,28.153424657534245,1.523287671232877,1,1,1,0,1.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
370,0,1,0,0,39.87671232876713,3.3589041095890413,1,1,0,0,2.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
373,0,1,0,2,41.49041095890411,17.534246575342465,1,1,0,0,4.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
376,1,0,1,0,59.273972602739725,-1000.6657534246576,1,0,1,0,2.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
381,0,1,0,0,52.38356164383562,10.03013698630137,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
387,1,0,1,2,34.93698630136986,1.1863013698630136,1,0,1,0,4.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
390,0,1,1,0,54.67945205479453,20.45205479452055,1,0,0,0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
393,1,0,1,2,29.34246575342466,6.441095890410959,1,0,0,0,4.0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
394,1,0,1,2,29.34246575342466,6.441095890410959,1,0,0,0,4.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
395,1,0,1,0,23.23835616438356,4.112328767123287,1,1,0,1,1.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
396,1,1,1,2,34.76712328767123,12.194520547945206,1,0,0,0,4.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
399,0,1,1,0,44.04383561643836,21.03835616438356,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
402,1,1,1,1,45.515068493150686,8.863013698630137,1,0,0,0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
403,1,1,1,0,56.55890410958904,10.610958904109587,1,0,0,0,2.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
408,0,1,1,0,62.64931506849315,-1000.6657534246576,1,0,0,0,1.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
411,1,0,1,0,46.13424657534247,10.115068493150686,1,0,0,0,2.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
412,0,1,1,1,38.19178082191781,1.6904109589041096,1,0,0,0,3.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
417,1,1,0,1,33.78082191780822,7.695890410958904,1,0,1,1,3.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
419,1,0,1,2,33.53972602739726,5.608219178082192,1,0,0,0,4.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
421,1,0,1,1,29.934246575342467,9.780821917808218,1,0,1,0,3.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
425,1,1,1,1,35.33150684931507,1.9424657534246572,1,0,0,0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
